航司代码,航司名称,产品名称,航线,订座舱位,上浮价格,政策返点,产品代码,出票OFFICE,备注,航司结算方式,产品有限期,司结算方式,票证类型
3U,四川航空,3U航段加速/Q/M舱加价,所有航线,订：Q/M 舱  Q/M舱加价,100,40,YTD4NQF2,KMG319/KMG279/CTU152,运价标识：YTD4NQF2 前返,,有效,,GP/BSP
3U,四川航空,3U航段加速/Q/M舱加价,所有航线,订：Q/M 舱  Q/M舱加价,200,120,YTD4KGJ3,KMG319/KMG279/CTU152,运价标识：YTD4KGJ3（高舱高奖）,,有效,,GP/BSP
3U,四川航空,3U航段加速/Q/M舱加价,所有航线,订：Q/M 舱  Q/M舱加价,400,240,YTD4EGJ4,KMG319/KMG279/CTU152,运价标识：YTD4EGJ4（高舱高奖）,,有效,,GP/BSP
3U,四川航空,3U川航大客户后返,"白名单是战狼队的非GP白名单，
请出到川航票的必须要带客户号，
后返结回来后会补给大家。（3折以上7%）
","大客户号：LFY001MAKM
（100%白名单）",（3折以上7%）,后返7%,LFY001MAKM,KMG319,PAT A#CLFY001MAKM,,有效,,GP/BSP
3U,四川航空,3U往返程免改产品,往返订一起外放减优惠Y舱5%,N-Y舱 往返订一起,优惠Y5%,40/每段,WF1R+WF2R,KMG319/KMG279/CTU152,"运价标识：WF1R+WF2R,2小时前免费改签",,有效,,GP/BSP
3U,四川航空,3U里程加享,所有航线,T-N舱公布运价+60元，LTMC+60+舱位代码,60,10,LTMC+60+舱位代码,KMG319/KMG279/CTU152,赠送额外500里程,,有效,,GP/BSP
3U,四川航空,3U里程加享,所有航线,H-N舱公布运价+100元，LTMC+100+舱位代码,100,40,LTMC+100+舱位代码,KMG319/KMG279/CTU152,赠送额外1000里程,,有效,,GP/BSP
3U,四川航空,3U里程加享,所有航线,H-N舱公布运价+150元，LTMC+150+舱位代码,150,60,LTMC+150+舱位代码,KMG319/KMG279/CTU152,赠送额外1500里程,,有效,,GP/BSP
3U,四川航空,3U里程加享,所有航线,G-N舱公布运价+200元，LTMC+200+舱位代码,200,80,LTMC+200+舱位代码,KMG319/KMG279/CTU152,赠送额外2000里程,,有效,,GP/BSP
3U,四川航空,3U机+接送车,所有航线,I/J  舱位代码+ZX,300,200,舱位代码+ZX,KMG319/KMG279/CTU152,服务商提供接送机,,有效,,GP/BSP
3U,四川航空,3U机+优先选座,所有航线,W舱  YW5+舱位代码,T-N舱公布运价+5%Y舱公布运价,15,YW5+舱位代码,KMG319/KMG279/CTU152,航班起飞48小时之前优先选座,,有效,,GP/BSP
3U,四川航空,3U机+休息室,川航部分航点始发 国内航线 机+休息室,W舱  YGB+TFU+舱位代码,200,50,YGB+TFU+舱位代码,KMG319/KMG279/CTU152,川航天府出港国内航线,,有效,,GP/BSP
3U,四川航空,3U机+休息室,赠送重庆机场川航自营休息室一次,W舱 YGB+CKG+舱位代码,110,50,YGB+CKG+舱位代码,KMG319/KMG279/CTU152,川航重庆出港国内航线,,有效,,GP/BSP
3U,四川航空,3U 礼遇加享(机+X),所有航线,T/H/G/L/E/R/ K/N  QF+40+舱位代码,40,20+按段,QF+40+舱位代码,KMG319/KMG279/CTU152,服务商提供自有服务,,有效,,GP/BSP
3U,四川航空,3U 礼遇加享(机+X),所有航线,T/H/G/L/E/R/ K/N  QF+80+舱位代码,80,40+按段,QF+80+舱位代码,KMG319/KMG279/CTU152,服务商提供自有服务,,有效,,GP/BSP
3U,四川航空,3U优惠退票,优惠退票,H/G/L/E/R/K/N,180,100+按段,YHTP+舱位代码,KMG319/KMG279/CTU152,"自愿退票时间在航班计划离站时间72小时
（含）前，退票费率按照航班计划离站时间
168小时（含）前费率执行",,有效,,GP/BSP
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
3U,四川航空,,,,,,,,,,,,
