产品名称,航线,订座舱位,上浮价格,政策返点,产品代码,票证类型,出票OFFICE,备注,产品有限期,航司结算方式,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,上浮/下浮价格,政策返点（后返+车辆后返+代理费),上浮价格/直减,结算方式
"3U机+选座+休息室+快
速安检组合产品","川航部分国内航线（休息室
、快速安检资源覆盖航点）",W,T-N舱公布运价+200元,75,*/0DJHQ,GP/BSP,KMG319,"航班起飞48小时之前优享选座+第三方休息室卡券一张+
快速安检券一张",航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
"3U机+选座+休息室+快
速安检组合产品","川航部分国内航线（休息室
、快速安检资源覆盖航点）",W,Q/M舱市场净价+200元,60,***/0DJHQ,GP/BSP,KMG319,"航班起飞48小时之前优享选座+第三方休息室卡券一张+
快速安检券一张",航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U优惠退票,川航国内航线,T/H/G/L/E/R/K/N,200,75,*/0KJTP,GP/BSP,KMG319,"自愿退票时间在航班计划离站时间48小时（含）前，退
票费率按照航班计划离站时间168小时（含）前费率执行",航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U优惠退票,川航国内航线,Q/M,200,60,"
***/0KJTP",GP/BSP,KMG319,"自愿退票时间在航班计划离站时间48小时（含）前，退
票费率按照航班计划离站时间168小时（含）前费率执行",航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,50,15,*/0KJL1,GP/BSP,KMG319,赠送额外500里程,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国内航线,Q/M,50,10,"
***/0KJL1",GP/BSP,KMG319,赠送额外500里程,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,100,35,"*/0KJL2
",GP/BSP,KMG319,赠送额外1000里程,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国内航线,Q/M,100,30,"
***/0KJL2",GP/BSP,KMG319,赠送额外1000里程,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,150,55,*/0KJL3,GP/BSP,KMG319,赠送额外1500里程,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国内航线,Q/M,150,45,***/0KJL3,GP/BSP,KMG319,赠送额外1500里程,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,200,75,*/0KJL4,GP/BSP,KMG319,赠送额外2000里程,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国内航线,Q/M,200,60,***/0KJL4,GP/BSP,KMG319,赠送额外2000里程,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U里程加享,川航国内航线,I/J,400,160,*/0KJL5,GP/BSP,KMG319,赠送额外4000里程,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
