产品名称,航线,订座舱位,上浮价格/直减,政策返点,产品代码,出票OFFICE,备注,产品有限期,航司结算方式
14、免改添翼,所有航线（指定航线）西安进出港和异地航线，具体参照文件）,K/L/M/X/V/N/A/U/T/P/A1/U1/T1/P1,700,350,,KMG319/KMG279/CTU152/SZX146,MGTC1,有效,
往返无忧,JHG-PKX/LJG-CAN/SJW-HAK/ENH-NKG/INC-CAN/NKG-HAK/XIY-YYA/TFU-SYX/WDS-NKG/YNZ-KWE/HSC-XIY/HAK-TYN/KWL-LYI/XIY-HAK/TFU-LJG/SYX-TYN/XIY-HCZ/XIY-YIC/WUH-HAK/HAK-TNA/SYX-TSN/SYX-KHN/YNT-WUH/NNG-SWA/LJG-WDS/SHE-WDS/SJW-GYS/HAK-XIY/FOC-SYX/TFU-HAK/CKG-CAN/XIY-YIN/SJW-XIY/YIH-KWE/NNG-SYX/SWA-NKG/SJW-ZQZ/YIC-XIY/KWE-YIH/HAK-KWE/BZX-TAO/YYA-HAK/SJW-HGH/SJW-LJG/HCZ-NKG/KWE-LJG/HQQ-HRB/NNY-HGH/SHS-TAO/JHG-HGH/CGQ-TYN/SYX-LYI/CGO-KRL/WMT-HFE/HRB-HQQ/SYX-HQQ/HRB-SZX/CGO-LJG/NKG-ENH/ENH-HAK/IQN-HGH/XIY-SJW/YIC-SYX/JJN-SYX/HRB-FUG/CIF-SJW/ZUH-LJG/LYI-KWL/NNG-SHS/XMN-TXN/TYN-HAK/ENH-HGH/LJG-ZUH/TAO-CSX/CGO-HAK/TAO-HFE/AKA-HGH/XNN-KHN/HAK-HZA/KWE-HAK/XIY-ENH/NKG-HCZ/HGH-NNY/JJN-DXJ/HFE-LJG/SZX-HAK/HGH-ZHY/HFE-WMT/SYX-CGO/NKG-TAO/XIY-HSC/WDS-HAK/NKG-WDS/LJG-NNG/ERL-PKX/CGO-SYX/KHN-XNN/LJG-KHN/HGH-AKA/JJN-YNZ/ENY-NKG/ENH-XIY/HGH-ENH/XMN-LJG/HQQ-SYX/LJG-XMN/GYS-HAK/SHS-NNG/NZH-PKX/SJW-YIH/HFE-HAK/CKG-LJG/TAO-NKG/TXN-XMN/NKG-SWA/TAO-BZX/SWA-HAK/TYN-SYX/WDS-LJG/KWL-HAK/NNG-BZX/LYI-SYX/LJG-WMT/KHN-LJG/DZH-HAK/TAO-SHS/HZA-HAK/NNG-LJG/XMN-KMG/DXJ-XIY/YNZ-JJN/TSN-SYX/KHN-SYX/ENY-INC/SJW-DZH/CSX-HAK/TNA-HAK/PKX-NZH/BZX-NNG/INC-ENY/ZUH-HAK/ZHY-HGH/YYA-XIY/WMT-LJG/ZQZ-SJW/ZHY-XNN/XNN-ZHY/DXJ-JJN/XIY-DXJ/YIE-PKX/PKX-YIE  直减,V/N,5%,,PWF3,KMG319/KMG279/CTU152/SZX146,"提前天数：
需航班起飞前3天销售日期:2026年3月13日至2026年4月30日",有效,
,JHG-PKX/LJG-CAN/SJW-HAK/ENH-NKG/INC-CAN/NKG-HAK/XIY-YYA/TFU-SYX/WDS-NKG/YNZ-KWE/HSC-XIY/HAK-TYN/KWL-LYI/XIY-HAK/TFU-LJG/SYX-TYN/XIY-HCZ/XIY-YIC/WUH-HAK/HAK-TNA/SYX-TSN/SYX-KHN/YNT-WUH/NNG-SWA/LJG-WDS/SHE-WDS/SJW-GYS/HAK-XIY/FOC-SYX/TFU-HAK/CKG-CAN/XIY-YIN/SJW-XIY/YIH-KWE/NNG-SYX/SWA-NKG/SJW-ZQZ/YIC-XIY/KWE-YIH/HAK-KWE/BZX-TAO/YYA-HAK/SJW-HGH/SJW-LJG/HCZ-NKG/KWE-LJG/HQQ-HRB/NNY-HGH/SHS-TAO/JHG-HGH/CGQ-TYN/SYX-LYI/CGO-KRL/WMT-HFE/HRB-HQQ/SYX-HQQ/HRB-SZX/CGO-LJG/NKG-ENH/ENH-HAK/IQN-HGH/XIY-SJW/YIC-SYX/JJN-SYX/HRB-FUG/CIF-SJW/ZUH-LJG/LYI-KWL/NNG-SHS/XMN-TXN/TYN-HAK/ENH-HGH/LJG-ZUH/TAO-CSX/CGO-HAK/TAO-HFE/AKA-HGH/XNN-KHN/HAK-HZA/KWE-HAK/XIY-ENH/NKG-HCZ/HGH-NNY/JJN-DXJ/HFE-LJG/SZX-HAK/HGH-ZHY/HFE-WMT/SYX-CGO/NKG-TAO/XIY-HSC/WDS-HAK/NKG-WDS/LJG-NNG/ERL-PKX/CGO-SYX/KHN-XNN/LJG-KHN/HGH-AKA/JJN-YNZ/ENY-NKG/ENH-XIY/HGH-ENH/XMN-LJG/HQQ-SYX/LJG-XMN/GYS-HAK/SHS-NNG/NZH-PKX/SJW-YIH/HFE-HAK/CKG-LJG/TAO-NKG/TXN-XMN/NKG-SWA/TAO-BZX/SWA-HAK/TYN-SYX/WDS-LJG/KWL-HAK/NNG-BZX/LYI-SYX/LJG-WMT/KHN-LJG/DZH-HAK/TAO-SHS/HZA-HAK/NNG-LJG/XMN-KMG/DXJ-XIY/YNZ-JJN/TSN-SYX/KHN-SYX/ENY-INC/SJW-DZH/CSX-HAK/TNA-HAK/PKX-NZH/BZX-NNG/INC-ENY/ZUH-HAK/ZHY-HGH/YYA-XIY/WMT-LJG/ZQZ-SJW/ZHY-XNN/XNN-ZHY/DXJ-JJN/XIY-DXJ/YIE-PKX/PKX-YIE  直减,A/U/T,8%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
,JHG-PKX/LJG-CAN/SJW-HAK/ENH-NKG/INC-CAN/NKG-HAK/XIY-YYA/TFU-SYX/WDS-NKG/YNZ-KWE/HSC-XIY/HAK-TYN/KWL-LYI/XIY-HAK/TFU-LJG/SYX-TYN/XIY-HCZ/XIY-YIC/WUH-HAK/HAK-TNA/SYX-TSN/SYX-KHN/YNT-WUH/NNG-SWA/LJG-WDS/SHE-WDS/SJW-GYS/HAK-XIY/FOC-SYX/TFU-HAK/CKG-CAN/XIY-YIN/SJW-XIY/YIH-KWE/NNG-SYX/SWA-NKG/SJW-ZQZ/YIC-XIY/KWE-YIH/HAK-KWE/BZX-TAO/YYA-HAK/SJW-HGH/SJW-LJG/HCZ-NKG/KWE-LJG/HQQ-HRB/NNY-HGH/SHS-TAO/JHG-HGH/CGQ-TYN/SYX-LYI/CGO-KRL/WMT-HFE/HRB-HQQ/SYX-HQQ/HRB-SZX/CGO-LJG/NKG-ENH/ENH-HAK/IQN-HGH/XIY-SJW/YIC-SYX/JJN-SYX/HRB-FUG/CIF-SJW/ZUH-LJG/LYI-KWL/NNG-SHS/XMN-TXN/TYN-HAK/ENH-HGH/LJG-ZUH/TAO-CSX/CGO-HAK/TAO-HFE/AKA-HGH/XNN-KHN/HAK-HZA/KWE-HAK/XIY-ENH/NKG-HCZ/HGH-NNY/JJN-DXJ/HFE-LJG/SZX-HAK/HGH-ZHY/HFE-WMT/SYX-CGO/NKG-TAO/XIY-HSC/WDS-HAK/NKG-WDS/LJG-NNG/ERL-PKX/CGO-SYX/KHN-XNN/LJG-KHN/HGH-AKA/JJN-YNZ/ENY-NKG/ENH-XIY/HGH-ENH/XMN-LJG/HQQ-SYX/LJG-XMN/GYS-HAK/SHS-NNG/NZH-PKX/SJW-YIH/HFE-HAK/CKG-LJG/TAO-NKG/TXN-XMN/NKG-SWA/TAO-BZX/SWA-HAK/TYN-SYX/WDS-LJG/KWL-HAK/NNG-BZX/LYI-SYX/LJG-WMT/KHN-LJG/DZH-HAK/TAO-SHS/HZA-HAK/NNG-LJG/XMN-KMG/DXJ-XIY/YNZ-JJN/TSN-SYX/KHN-SYX/ENY-INC/SJW-DZH/CSX-HAK/TNA-HAK/PKX-NZH/BZX-NNG/INC-ENY/ZUH-HAK/ZHY-HGH/YYA-XIY/WMT-LJG/ZQZ-SJW/ZHY-XNN/XNN-ZHY/DXJ-JJN/XIY-DXJ/YIE-PKX/PKX-YIE  直减,Y/H/K/L/M/X,0%,,,KMG319/KMG279/CTU152/SZX146,,有效,
往返无忧PWF3A,JHG-PKX/LJG-CAN/SJW-HAK/ENH-NKG/INC-CAN/NKG-HAK/XIY-YYA/TFU-SYX/WDS-NKG/YNZ-KWE/HSC-XIY/HAK-TYN/KWL-LYI/XIY-HAK/TFU-LJG/SYX-TYN/XIY-HCZ/XIY-YIC/WUH-HAK/HAK-TNA/SYX-TSN/SYX-KHN/YNT-WUH/NNG-SWA/LJG-WDS/SHE-WDS/SJW-GYS/HAK-XIY/FOC-SYX/TFU-HAK/CKG-CAN/XIY-YIN/SJW-XIY/YIH-KWE/NNG-SYX/SWA-NKG/SJW-ZQZ/YIC-XIY/KWE-YIH/HAK-KWE/BZX-TAO/YYA-HAK/SJW-HGH/SJW-LJG/HCZ-NKG/KWE-LJG/HQQ-HRB/NNY-HGH/SHS-TAO/JHG-HGH/CGQ-TYN/SYX-LYI/CGO-KRL/WMT-HFE/HRB-HQQ/SYX-HQQ/HRB-SZX/CGO-LJG/NKG-ENH/ENH-HAK/IQN-HGH/XIY-SJW/YIC-SYX/JJN-SYX/HRB-FUG/CIF-SJW/ZUH-LJG/LYI-KWL/NNG-SHS/XMN-TXN/TYN-HAK/ENH-HGH/LJG-ZUH/TAO-CSX/CGO-HAK/TAO-HFE/AKA-HGH/XNN-KHN/HAK-HZA/KWE-HAK/XIY-ENH/NKG-HCZ/HGH-NNY/JJN-DXJ/HFE-LJG/SZX-HAK/HGH-ZHY/HFE-WMT/SYX-CGO/NKG-TAO/XIY-HSC/WDS-HAK/NKG-WDS/LJG-NNG/ERL-PKX/CGO-SYX/KHN-XNN/LJG-KHN/HGH-AKA/JJN-YNZ/ENY-NKG/ENH-XIY/HGH-ENH/XMN-LJG/HQQ-SYX/LJG-XMN/GYS-HAK/SHS-NNG/NZH-PKX/SJW-YIH/HFE-HAK/CKG-LJG/TAO-NKG/TXN-XMN/NKG-SWA/TAO-BZX/SWA-HAK/TYN-SYX/WDS-LJG/KWL-HAK/NNG-BZX/LYI-SYX/LJG-WMT/KHN-LJG/DZH-HAK/TAO-SHS/HZA-HAK/NNG-LJG/XMN-KMG/DXJ-XIY/YNZ-JJN/TSN-SYX/KHN-SYX/ENY-INC/SJW-DZH/CSX-HAK/TNA-HAK/PKX-NZH/BZX-NNG/INC-ENY/ZUH-HAK/ZHY-HGH/YYA-XIY/WMT-LJG/ZQZ-SJW/ZHY-XNN/XNN-ZHY/DXJ-JJN/XIY-DXJ/YIE-PKX/PKX-YIE  直减,V/N,5%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
,JHG-PKX/LJG-CAN/SJW-HAK/ENH-NKG/INC-CAN/NKG-HAK/XIY-YYA/TFU-SYX/WDS-NKG/YNZ-KWE/HSC-XIY/HAK-TYN/KWL-LYI/XIY-HAK/TFU-LJG/SYX-TYN/XIY-HCZ/XIY-YIC/WUH-HAK/HAK-TNA/SYX-TSN/SYX-KHN/YNT-WUH/NNG-SWA/LJG-WDS/SHE-WDS/SJW-GYS/HAK-XIY/FOC-SYX/TFU-HAK/CKG-CAN/XIY-YIN/SJW-XIY/YIH-KWE/NNG-SYX/SWA-NKG/SJW-ZQZ/YIC-XIY/KWE-YIH/HAK-KWE/BZX-TAO/YYA-HAK/SJW-HGH/SJW-LJG/HCZ-NKG/KWE-LJG/HQQ-HRB/NNY-HGH/SHS-TAO/JHG-HGH/CGQ-TYN/SYX-LYI/CGO-KRL/WMT-HFE/HRB-HQQ/SYX-HQQ/HRB-SZX/CGO-LJG/NKG-ENH/ENH-HAK/IQN-HGH/XIY-SJW/YIC-SYX/JJN-SYX/HRB-FUG/CIF-SJW/ZUH-LJG/LYI-KWL/NNG-SHS/XMN-TXN/TYN-HAK/ENH-HGH/LJG-ZUH/TAO-CSX/CGO-HAK/TAO-HFE/AKA-HGH/XNN-KHN/HAK-HZA/KWE-HAK/XIY-ENH/NKG-HCZ/HGH-NNY/JJN-DXJ/HFE-LJG/SZX-HAK/HGH-ZHY/HFE-WMT/SYX-CGO/NKG-TAO/XIY-HSC/WDS-HAK/NKG-WDS/LJG-NNG/ERL-PKX/CGO-SYX/KHN-XNN/LJG-KHN/HGH-AKA/JJN-YNZ/ENY-NKG/ENH-XIY/HGH-ENH/XMN-LJG/HQQ-SYX/LJG-XMN/GYS-HAK/SHS-NNG/NZH-PKX/SJW-YIH/HFE-HAK/CKG-LJG/TAO-NKG/TXN-XMN/NKG-SWA/TAO-BZX/SWA-HAK/TYN-SYX/WDS-LJG/KWL-HAK/NNG-BZX/LYI-SYX/LJG-WMT/KHN-LJG/DZH-HAK/TAO-SHS/HZA-HAK/NNG-LJG/XMN-KMG/DXJ-XIY/YNZ-JJN/TSN-SYX/KHN-SYX/ENY-INC/SJW-DZH/CSX-HAK/TNA-HAK/PKX-NZH/BZX-NNG/INC-ENY/ZUH-HAK/ZHY-HGH/YYA-XIY/WMT-LJG/ZQZ-SJW/ZHY-XNN/XNN-ZHY/DXJ-JJN/XIY-DXJ/YIE-PKX/PKX-YIE,A/U/T,8%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
,JHG-PKX/LJG-CAN/SJW-HAK/ENH-NKG/INC-CAN/NKG-HAK/XIY-YYA/TFU-SYX/WDS-NKG/YNZ-KWE/HSC-XIY/HAK-TYN/KWL-LYI/XIY-HAK/TFU-LJG/SYX-TYN/XIY-HCZ/XIY-YIC/WUH-HAK/HAK-TNA/SYX-TSN/SYX-KHN/YNT-WUH/NNG-SWA/LJG-WDS/SHE-WDS/SJW-GYS/HAK-XIY/FOC-SYX/TFU-HAK/CKG-CAN/XIY-YIN/SJW-XIY/YIH-KWE/NNG-SYX/SWA-NKG/SJW-ZQZ/YIC-XIY/KWE-YIH/HAK-KWE/BZX-TAO/YYA-HAK/SJW-HGH/SJW-LJG/HCZ-NKG/KWE-LJG/HQQ-HRB/NNY-HGH/SHS-TAO/JHG-HGH/CGQ-TYN/SYX-LYI/CGO-KRL/WMT-HFE/HRB-HQQ/SYX-HQQ/HRB-SZX/CGO-LJG/NKG-ENH/ENH-HAK/IQN-HGH/XIY-SJW/YIC-SYX/JJN-SYX/HRB-FUG/CIF-SJW/ZUH-LJG/LYI-KWL/NNG-SHS/XMN-TXN/TYN-HAK/ENH-HGH/LJG-ZUH/TAO-CSX/CGO-HAK/TAO-HFE/AKA-HGH/XNN-KHN/HAK-HZA/KWE-HAK/XIY-ENH/NKG-HCZ/HGH-NNY/JJN-DXJ/HFE-LJG/SZX-HAK/HGH-ZHY/HFE-WMT/SYX-CGO/NKG-TAO/XIY-HSC/WDS-HAK/NKG-WDS/LJG-NNG/ERL-PKX/CGO-SYX/KHN-XNN/LJG-KHN/HGH-AKA/JJN-YNZ/ENY-NKG/ENH-XIY/HGH-ENH/XMN-LJG/HQQ-SYX/LJG-XMN/GYS-HAK/SHS-NNG/NZH-PKX/SJW-YIH/HFE-HAK/CKG-LJG/TAO-NKG/TXN-XMN/NKG-SWA/TAO-BZX/SWA-HAK/TYN-SYX/WDS-LJG/KWL-HAK/NNG-BZX/LYI-SYX/LJG-WMT/KHN-LJG/DZH-HAK/TAO-SHS/HZA-HAK/NNG-LJG/XMN-KMG/DXJ-XIY/YNZ-JJN/TSN-SYX/KHN-SYX/ENY-INC/SJW-DZH/CSX-HAK/TNA-HAK/PKX-NZH/BZX-NNG/INC-ENY/ZUH-HAK/ZHY-HGH/YYA-XIY/WMT-LJG/ZQZ-SJW/ZHY-XNN/XNN-ZHY/DXJ-JJN/XIY-DXJ/YIE-PKX/PKX-YIE,Y/H/K/L/M/X,0%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
往返无忧,首都航空国内自营航线（首都航空为市场方的代码共享航班、包机航班除外）,V/N,3%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
,首都航空国内自营航线（首都航空为市场方的代码共享航班、包机航班除外）,A/U/T,6%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
,首都航空国内自营航线（首都航空为市场方的代码共享航班、包机航班除外）,Y/H/K/L/M/X,0%,,PWF3,KMG319/KMG279/CTU152/SZX146,,有效,
