航司,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效截止日期,创建人,创建时间
MU,MU、云南GP空铁优享,昆明进出港航线(C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z),1.区域一：增值服务包括玉溪、曲靖至或返昆明高铁二等座客票一张、昆明站或昆明南站至或返昆明长水机场地面运输一次（专车）,260,固定值,,固定值,210,,,GP,KMG319,产品对应舱位客票的航班/日期变更，自愿变更时间在航班规定离站时间前4小时（含）之外，免收变更手续费,有效,,
MU,MU、云南GP空铁优享,昆明进出港航线(C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z),2.区域二：包括建水、楚雄、蒙自、文山至或返昆明高铁二等座客票一张、昆明站或昆明南站至或返昆明长水机场地面运输一次,310,固定值,,固定值,260,,,GP,KMG319,1.注意台账做共享链接（用车信息+对应高铁信息）,航班日期：即日起-2025年12月31日,,
MU,MU、云南GP空铁优享,昆明进出港航线(C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z),3.区域三：包括普洱、大理、保山、版纳、丽江至或返昆明高铁二等座客票一张、昆明站或昆明南站至或返昆明长水机场地面运输一次（专车）,410,固定值,,固定值,360,,,GP,KMG319,,,,
MU,MU、云南GP空铁优享,昆明进出港航线(C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z),区域四：包括临沧、迪庆至或返昆明高铁二等座客票一张、昆明站或昆明南站至或返昆明长水机场地面运输一次（专车）,460,固定值,,固定值,410,,,GP,KMG319,,,,
MU,MU、昆明易优享,①易登机,KMG-PKX-PVG-SHA-TFU-HFE-CAN-SZX-CTU-XIY-TCZ-JHG-SYM-LUM-LNJ-BSD (N舱以上）,460,固定值,,固定值,410,,,BSP,KMG319/KMG279/CTU152/SZX146,,,,
MU,用车优享+,单程、往返程,P/B/M/E/K/L/N/R/S/V/T/Z,150,固定值,,固定值,38,,YC,BSP,KMG319,"销售日期：即日起至 2026 年 12 月 31 日
承运日期:2026 年 4 月 1 日-2026 年 12 月 31 日
（具体以运价发布时间为准）",有效,,
MU,Wi-Fi 优享+,所有航线  BSP/B2T渠道“Wi-Fi优享+,P/B/M/E/K/L/N/R/S/V/T/Z,40,固定值,,固定值,10,,W1,BSP,KMG319,"销售渠道：BSP/B2T
使用渠道：机上空中互联门户
销售日期：即日起-2026 年 12 月 31 日
承运日期：2026 年 4 月 1 日-2026 年 12 月 31 日（具体
以运价发布时间为准）",,,
MU,MU、Wi-Fi优享+里程优享,所有行程,P/B/M/E/K/L/N/R/S/V/T/Z( 产品代码：WFLCYX300,110,固定值,,固定值,28,,W3,BSP,KMG319,"销售日期：即日起-2026 年 12 月 31 日
承运日期：2026 年 4 月 1 日-2026 年 12 月 31 日",,,
MU,MU、Wi-Fi优享+里程优享,所有行程,P/B/M/E/K/L/N/R/S/V/T/Z( 产品代码：WFLCYX600,190,固定值,,固定值,48,,W4,BSP,KMG319,,,,
MU,MU、Wi-Fi优享+里程优享,所有行程,P/B/M/E/K/L/N/R/S/V/T/Z( 产品代码：WFLCYX1200,300,固定值,,固定值,75,,W5,BSP,KMG319,,,,
MU,GP 渠道 Wi-Fi 优享+里程优享,"东上航实际承运的含有机上互联服务网功能的国内直达航班（不适用于中转或经停）
",B/M/E/K/L/N/R/S/V/T/Z,110,固定值,,固定值,28,,GPW3,GP,KMG319,"适用渠道：BSP
销售日期：不限
承运日期：2026 年 4 月 1 日-2026 年 12 月 31 日
适用航程：单程、往返程
适用客票：GP 客票   特殊退改规则：使用 GP WIFI+里程优享产品可享受航前 4
小时免费改期政策",,,
MU,GP 渠道 Wi-Fi 优享+里程优享,"东上航实际承运的含有机上互联服务网功能的国内直达航班（不适用于中转或经停）
",B/M/E/K/L/N/R/S/V/T/Z,190,固定值,,固定值,48,,GPW4,GP,KMG319,,,,
MU,GP 渠道 Wi-Fi 优享+里程优享,"东上航实际承运的含有机上互联服务网功能的国内直达航班（不适用于中转或经停）
",B/M/E/K/L/N/R/S/V/T/Z,300,固定值,,固定值,75,,GPW5,GP,KMG319,,,,
MU,MU、东航免费接送机调整,所有行程,"适用航线:昆明始发或到达东、上航实际承运国内单程、往返程、铁口程航班;
3、东航云南有限公司客户编号为47开头的两方和三方集（7月-9月调整K舱起免费接送）",300,固定值,,固定值,125,,,BSP,KMG319,,,,
MU,安心优享+,所有航线,C/D/Q/I/P/B/M/E/K/L/N/R/S/V/T/Z,99,固定值,,固定值,25,,BX,BSP,KMG319/KMG279/CTU152/SZX146,"销售渠道：BSP
销售日期：即日起至 2026 年 12 月 31 日。
承运日期：2026 年 4 月 1 日至 2026 年 12 月 31 日。
产品内容：在外放价格之上设置较高价格，旅客购买较高价格后可获赠航班综合保险（包含航空意外险、航班延误险）和东航商城优惠券。旅客购买“安心优享+”产品后，为乘机人投保，发放商城优惠券。投保信息的短信发到乘机人 CTCM手机号。商城优惠券可以用手机号绑定的会员账户或以手机号游客身份登录领取。商城优惠券有效期自发放之日开始算 90天有效。",,,
MU,MU国博优享,所有航线,"U/C/D/Q/I/W/P/B/M/E/K/L/N/R/S/V/T/Z
TC 项（GBYX）、FB 项（G5）",70-120,固定值,,固定值,20,,G5,BSP,KMG319,"销售日期：2025 年 9 月 3 日至 2026 年 6 月 30 日。
承运日期：2025 年 9 月 3 日至 2026 年 6 月 30 日。
行程类型：单程。",有效,,
MU,低碳优享,东航/上航实际承运国内单程/往返直达航班。,"B/M/E/K/L/N/R/S/V/T/Z(对产品价格超
过经济舱无折扣公布运价的情况进行拦截)",150,固定值,,固定值,60,,DX3,BSP,KMG319,"销售渠道：BSP
销售日期：即日起-2026 年 12 月 31 日。
承运日期：2026 年 4 月 1 日-2026 年 12 月 31 日。普通客票以 Farebasis 项后缀两位即 X2/X3 为识别代
号,GP 客票以后缀四位即 GPX2/GPX3 为识别代号",有效,,
MU,低碳优享,东航/上航实际承运国内单程/往返直达航班。,"B/M/E/K/L/N/R/S/V/T/Z(对产品价格超
过经济舱无折扣公布运价的情况进行拦截)",300,固定值,,固定值,120,,DX2,BSP,KMG319,,,,
