航司,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效截止日期,创建人,创建时间
9H长安,5、特惠行李E舱,适用航线及产品代码：长安航空国内自营航线（包机、代码共享航班除外）,订E舱，运价标识：EFLA/EFLB/EFLC/EFLD/EGLA/EGLB H/K/L/M/X/V/N/A/U/T（含小舱位）,215,固定值,,,55,,EGLB,BSP/GP,KMG319/KMG279,,有效,,
9H长安,6、贵宾优享机票产品,长安航空国内西安出港自营航线（代码共享航班除外）,H/K/L/M/X/V/N/A/U/T(A1/U1/T1) 产品代码：GBYX,180,固定值,,,90,,GBYX,BSP/GP,KMG319/KMG279,,有效,,
9H长安,7、长安航空退改惠享机票产品,所有航线,H/K/L/M/X；  V/N/A/U/T（A1/U1/T1）,75/115,固定值,,,10,,TGHA/TGHB,BSP/GP,KMG319/KMG279,,有效,,
9H长安,7、长安航空退改惠享机票产品,所有航线,H/K/L/M/X/V/N/A/U/T（含小舱位）,145,固定值,,,25,,TGHC,BSP/GP,KMG319/KMG279,,有效,,
9H长安,7、长安航空退改惠享机票产品,所有航线,H/K/L/M/X/V/N/A/U/T（含小舱位）,175,固定值,,,45,,TGHD,BSP/GP,KMG319/KMG279,,有效,,
9H长安,8、长安航空退改惠享机票产品,所有航线,H/K/L/M/X/V/N/A/U/T（含小舱位）,55,固定值,,,10,,TGHE,BSP/GP,KMG319/KMG279,,有效,,
9H长安,9、长安航空退改惠享机票产品,所有航线,H/K/L/M/X/V/N/A/U/T（含小舱位）,115,固定值,,,15,,TGHF,BSP/GP,KMG319/KMG279,,有效,,
9H长安,10、长安航空退改惠享机票产品,所有航线,H/K/L/M/X/V/N/A/U/T（含小舱位）,145,固定值,,,25,,TGHG,BSP/GP,KMG319/KMG279,,有效,,
9H长安,11、长安航空退改惠享机票产品,所有航线,H/K/L/M/X/V/N/A/U/T（含小舱位）,175,固定值,,,45,,TGHH,BSP/GP,KMG319/KMG279,,有效,,
9H长安,12、长安航空退改惠享机票产品,所有航线,H/K/L/M/X/V/N/A/U/T（含小舱位）,55,固定值,,,10,,TGHI,BSP/GP,KMG319/KMG279,,有效,,
9H长安,13、长安航空退改惠享机票产品,所有航线,H/K/L/M/X/V/N/A/U/T（含小舱位）,155,固定值,,,20,,TGHJ,BSP/GP,KMG319/KMG279,,有效,,
9H长安,14、长安航空退改惠享机票产品,所有航线,H/K/L/M/X/V/N/A/U/T（含小舱位）,185,固定值,,,45,,TGHK,BSP/GP,KMG319/KMG279,,有效,,
9H长安,15、长安航空退改惠享机票产品,所有航线,H/K/L/M/X/V/N/A/U/T（含小舱位）,205,固定值,,,60,,TGHL,BSP/GP,KMG319/KMG279,,有效,,
9H长安,8、长安航空乐享优返机票产品,所有航线,H/K/L/M/X/V;   N/A/U/T (A1/U1/T1),30,固定值,,,12,,LXL1/LXL3/30,BSP/GP,KMG319/KMG279,,有效,,
9H长安,8、长安航空乐享优返机票产品,所有航线,V/N/A/U/T;   (A1/U1/T1),50,固定值,,,30,,LXY1/LXY3/50,BSP/GP,KMG319/KMG279,,有效,,
9H长安,8、长安航空乐享优返机票产品,所有航线,H/K/L/M/X;  V/N/A/U/T (A1/U1/T1),80,固定值,,,50,,LXF1/LXF3/80,BSP/GP,KMG319/KMG279,,有效,,
9H长安,海天无限基础政策,不含特殊航线的国内自营航线,Y/H/K，，L/M/X，V/N，A/U/T,适用下浮政策：Y舱100%，H/K舱94%，L/M/X舱93%，V/N舱92%，A/U/T舱91%,,,,,,,BSP/GP,KMG319/KMG279,,有效,,
